label,file_size,number_of_sections,file_characteristics,imagebase,dll_characteristics,size_of_image,size_of_headers,size_of_code,Check_for_Debugger,contain_bitcoin_address,is_packed,ransomware_command_indicator,suspicious_technique_indicator,contain_monero_address,contain_onion_address,using_encryption_library,ransomware_string_indicator,suspicious_entropy_and_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,max_section_size,min_section_size,mean_section_size,is_gui,imported_dll_count,imported_function_count,exported_function_count
ransomware,94720,3,259,4194304,34048,102400,1024,40448,0,0,0,0,0,0,0,0,0,0,0,1,7.983163584070428,5.965306229244432,7.244503475566717,43008,10240,31232.0,0,1,9,0
ransomware,1095680,3,302,4194304,34112,1122304,512,888320,0,0,1,0,0,0,1,1,1,0,5,0,7.146514562620965,0.08153941234324169,4.208942733570795,888320,512,365056.0,1,1,1,0
ransomware,193833,18,39,4194304,0,188416,1536,26112,0,0,0,0,0,0,0,1,0,1,2,12,5.960144746419058,0.0,3.059115338885536,59392,0,7879.111111111111,1,6,98,0
ransomware,1076736,7,34,5368709120,33120,1105920,1024,833024,1,0,0,0,0,1,1,1,1,0,5,3,6.458401254783135,3.2741016144496142,5.132456873780112,833024,512,153673.14285714287,1,9,155,0
ransomware,94720,3,259,4194304,34048,102400,1024,40448,0,0,0,0,0,0,0,0,0,0,0,1,7.982392093497069,5.965306229244432,7.2442463120422635,43008,10240,31232.0,1,1,9,0
ransomware,53248,2,259,4194304,33792,36864,1024,26112,0,0,0,1,0,0,0,1,0,1,3,0,7.353021225483102,4.696122618599126,6.024571922041114,26112,512,13312.0,1,9,89,0
ransomware,1787392,6,290,4194304,34112,1835008,1024,519680,1,0,1,1,1,0,0,1,1,0,10,3,7.999601252408629,0.10191042566270775,4.33397980547947,632320,512,297728.0,1,1,1,0
ransomware,778752,8,33166,4194304,0,811008,1024,481792,1,0,0,0,0,0,0,1,0,0,2,5,6.669775872609829,0.0,3.308872541484706,481792,0,97216.0,1,18,439,0
ransomware,176128,6,270,4194304,0,176128,4096,28672,1,0,0,0,0,0,0,0,0,1,2,2,6.23448336587959,0.154740813226626,3.254192226183116,118784,4096,28672.0,1,7,90,1
ransomware,148992,7,259,4194304,34112,163840,1024,32768,0,0,0,0,0,0,0,1,0,0,1,2,6.565343124868175,0.0,3.8751084662753192,73728,512,21138.285714285714,1,8,118,0
ransomware,498688,11,34,4194304,0,577536,1024,364032,0,0,0,1,1,0,0,1,0,0,3,5,7.8275652450450774,0.0,3.5988250069405536,364032,0,45242.181818181816,1,10,143,2
ransomware,29803870,6,34,5368709120,49504,364544,1024,176640,1,0,0,0,0,0,0,1,0,1,4,2,7.3501462320035476,1.8315705466577277,5.342009909251408,176640,2048,54869.333333333336,0,3,125,0
ransomware,97024,5,271,4194304,0,114688,1024,68608,0,0,0,0,0,0,0,1,0,1,2,2,7.664085686174095,4.77669448314646,6.349030728057578,54272,4608,19353.6,1,0,0,0
ransomware,94720,3,259,4194304,34048,102400,1024,40448,0,0,0,0,0,0,0,0,0,0,0,1,7.982102332270177,5.965306229244432,7.244149724966633,43008,10240,31232.0,0,1,9,0
ransomware,405504,4,271,4194304,0,421888,4096,122880,1,0,0,0,0,0,0,1,0,1,5,1,7.7677282656783015,3.7401862121981075,5.591969734347594,237568,8192,100352.0,1,8,261,0
ransomware,225792,3,34,5368709120,33120,512000,4096,225280,0,0,0,0,0,0,0,1,0,1,2,2,7.90259987868313,0.0,4.108726220048385,223744,0,74922.66666666667,0,5,8,0
ransomware,23599431,7,34,5368709120,49504,356352,1024,171008,1,0,0,0,0,0,0,1,0,1,4,3,7.554967714213712,1.8271683819747706,5.0068843014508255,171008,512,46592.0,1,5,126,0
