label,number_of_sections,entry_point,dll_characteristics,Check_for_Debugger,manipulate_user_auth,can_download_execute_components,C2_indicator,ConventionEngine_indicator,contain_crypto_address,suspicious_imphash,is_packed,ransomware_command_indicator,suspicious_technique_indicator,can_access_network_share,contain_tor_link,ransomware_string_indicator,use_security_base_api,manipulates_system_shell,cmd_powershell_usage_indicator,suspicious_entropy_and_indicator,use_win_base_api,files_directories_manipulation,retrieves_account_information,using_encryption_library,use_http_services,supports_windows_networking,can_create_process_and_threads,can_manipulate_windows_registry,can_send_receive_data,can_manipulate_windows_services,performs_gui_actions,yaraify_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,chi2_max,chi2_min,chi2_mean,chi2_global,imported_dll_count,imported_function_count,exported_function_count
ransomware,3,6919616,352,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,15,2,7.94473719106872,0.0,4.290680192157564,0,2140672,714240.0,4096,4775936,2307413.333333333,200228.32575938772,0.0,81314.69191979592,36192706.94903827,9,12,0
ransomware,4,12524,32768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,9,1,7.518038122539179,4.059391926791736,6.102299235623773,14336,679936,193280.0,14324,42498432,10647709.0,2730072.9766566167,276040.6060606059,1136254.471490994,3693972.290343918,4,100,0
ransomware,3,7014512,352,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,6,2,7.944748303168213,0.0,4.297019286496024,0,2161664,721237.3333333334,4096,4849664,2338816.0,201367.0873993369,0.0,81989.2791331123,203579.63449254792,9,12,0
ransomware,4,43280,33024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,10,0,7.992082043479904,0.903448628070524,5.217098596218309,35840,599552,217088.0,35664,41263200,10382793.5,17823879.312499993,10026.495303159669,5129650.752495581,4358915.499999999,2,223,0
ransomware,7,127228,33120,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,17,3,6.369827812348062,2.4687032572822423,4.521453349771186,512,252416,39350.857142857145,244,252060,40000.28571428572,2837966.5902636917,9295.0,551697.0156959335,3501230.4851851845,7,140,0
ransomware,4,7428,33088,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,10,1,6.83137197566975,4.937714300098048,6.153980743184562,4096,95744,43008.0,3692,98224,43330.25,1150346.391304348,33245.5,463326.058331294,1189574.6893491116,1,72,0
ransomware,3,32494,34112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5.57008436267493,0.0815394123432416,3.026824947143954,512,24576,9045.333333333334,12,24308,8789.333333333334,490855.2291666701,128522.0,260602.07638889004,721392.5740740779,1,1,0
ransomware,3,1549326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,6.052035226740752,0.1019104256627077,3.7293789243275737,512,1541632,515584.0,12,1541140,515253.3333333333,17974169.845234152,80737.33333333347,6060974.059522495,18071388.80608868,1,1,0
ransomware,12,4788225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,14,7,7.9996845292269985,0.0,4.568179498503955,0,928768,142464.0,68,2715648,399077.0,125968.81818181888,0.0,28642.647201027325,6345.70398084406,18,20,1
ransomware,4,12464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,5,1,6.2701377616247225,0.0203931352360849,3.06351561115788,512,137728,36992.0,4,137538,37603.5,3457882.654275092,105058.33333333304,955632.246902106,3693134.318493152,2,35,0
